uniprot_acc	content_fraction	content_count	length	start	end
A0A0D6HTJ9	0.002	1	555	1	1
A0A1W2VMW5	0.014	6	434	1	6
P0A825	0.019	8	417	1	8
Q2YIM3	0.011	5	438	1	5
Q8I566	0.014	6	442	1	6
G3CR02	0.061	19	310	1	19
P96847	0.018	7	388	1	7
Q59072	0.019	7	377	1	7
Q9X0Y2	0.016	6	377	1	6
B0VD92	0.085	23	271	1	23
O14818	0.04	10	248	1	10
P16495	0.026	6	233	1	6
P21700	0.082	20	245	1	20
P25787	0.051	12	234	1	12
P38801	0.038	7	184	1	7
Q2G036	0.051	10	195	1	10
P93193	0.032	5	154	1	5
A0A202B6V5	0.05	7	141	1	7
O83028	0.121	17	140	1	5
P62128	0.073	9	123	1	9
Q9C0Z9	0.008	1	129	1	1
A0A4V8H030	0.562	27	48	1	27
B2J821	0.093	42	450	1	36
Q8IX90	0.136	56	412	1	38
P03961	0.111	21	190	1	21
P62945	1.0	25	25	1	25
P02698	0.919	68	74	1	68
P38336	0.168	47	279	1	39
P61081	0.131	24	183	1	15
P23396	0.111	27	243	1	5
P12612	0.011	6	559	1	6
Q9KJU4	0.049	18	366	1	18
P13716	0.03	10	330	1	10
Q03406	0.051	15	294	1	15
P20433	0.1	22	221	1	22
P37554	0.309	55	178	1	55
A0A0R4I968	0.045	7	157	1	7
P59087	1.0	40	40	1	40
A0A5G2QD80	0.738	299	405	1	26
P83798	1.0	29	29	1	29
F1SKF9	0.19	77	405	1	26
P60896	1.0	70	70	1	70
P37719	0.077	12	156	1	12
A0QU01	0.043	6	140	1	6
P21701	0.103	26	253	1	26
Q9Y6X9	0.009	9	1032	1	9
A0A1A9TAI5	0.005	4	773	1	4
P28327	0.029	16	561	1	16
P13861	0.111	45	404	1	45
A0A060TAG5	0.03	7	231	1	7
Q4UKE8	0.025	4	160	1	4
Q7DD70	0.158	23	146	1	9
B4EPK2	0.035	5	141	1	5
Q9KKU4	0.055	8	145	1	8
P62861	1.0	59	59	1	59
B4EII9	0.049	9	184	1	4
Q9Q0V0	0.007	5	757	1	5
Q0PB98	0.01	6	609	1	6
Q59476	0.013	7	555	1	7
P27796	0.012	5	417	1	5
Q63NE4	0.015	6	399	1	6
Q9I5D1	0.027	7	255	1	7
T2GAT5	0.05	11	218	1	11
Q9XAM6	0.039	6	154	1	6
Q8N138	0.046	7	153	1	7
A0A0H3JQV2	0.523	46	88	1	20
Q37695	0.539	41	76	1	41
P0C6B5	0.079	5	63	1	5
Q9H2A1	0.172	5	29	1	5
P82409	0.882	30	34	1	30
P31011	0.013	6	456	1	6
P95468	0.023	9	394	1	9
G0SGW7	0.054	19	352	1	14
P19062	0.045	15	334	1	15
P25789	0.042	11	261	1	11
Q50859	0.036	8	220	1	8
Q9HZZ3	0.049	7	142	1	7
O58316	0.094	13	138	1	13
D0VWV5	0.048	6	126	1	6
P84801	0.066	8	121	1	8
V5VGC9	0.05	6	119	1	6
P80412	0.053	6	114	1	6
O06976	0.188	16	85	1	16
Q9I317	0.09	6	67	1	6
A0A0J9X293	1.0	71	71	1	71
Q9ZGI2	0.026	35	1346	1	35
P60881	0.762	157	206	1	83
Q9ULW0	0.094	70	747	1	22
Q9C4M4	0.017	7	407	1	7
P04693	0.023	9	397	1	9
Q9U5N6	0.024	9	371	1	9
Q6EDX8	0.053	18	340	1	11
P00420	0.059	16	269	1	16
P28066	0.075	18	241	1	18
Q7P1K4	0.056	8	142	1	8
P0CL61	0.947	72	76	1	72
Q9XJR6	0.654	68	104	1	68
D5MAL3	0.786	33	42	1	15
B0FAM5	0.139	48	345	1	7
Q98W00	0.31	66	213	1	28
Q3ZCK9	0.05	13	261	1	13
Q72IW7	0.039	8	207	1	8
Q03BZ3	0.056	8	142	1	8
W8SPG9	0.126	12	95	1	12
Q951A5	0.355	27	76	1	12
A0A2S6V6A8	1.0	31	31	1	31
P12071	0.967	29	30	1	29
Q7M3Z9	0.4	8	20	1	8
M3TKH6	0.433	58	134	1	26
O95298	0.286	34	119	1	8
P04051	0.039	57	1460	1	20
P42943	0.06	33	550	1	18
C7E5X4	0.03	12	398	1	12
P03418	0.09	35	391	1	22
Q3LSM4	0.025	10	393	1	10
P03889	0.028	9	318	1	9
P17413	0.043	11	256	1	11
Q969M7	0.049	9	185	1	9
Q8VDS3	0.323	51	158	1	16
A0A088FLK9	0.058	9	156	1	9
A0R215	0.72	54	75	1	12
Q9RSK0	1.0	37	37	1	37
A3DDW2	0.239	11	46	1	9
P72575	0.564	22	39	1	9
Q14676	0.009	19	2089	1	9
