name,uniprot_acc,species,references,module,start_aa,end_aa,dataset,id_cre
DNMT1,P13864,M. musculus,"(Song et al., 2011; Trudeau et al., 2013)",d,699,733,train,1
TBP,P20226,H. sapiens,"(Kuddus and Schmidt, 1993; Trudeau et al., 2013)",d,1,55,train,2
TAK1,Q62073,M. musculus,"(Yamaguchi et al., 1995)",d,1,22,train,3
SNF1,P06782,S. crevisiae,"(Jiang and Carlson, 1997; Trudeau et al., 2013)",d,392,495,train,4
TSE1,P10644,H. sapiens,"(Francis et al., 2002)",d,1,98,train,5
Vav1,P15498,H. sapiens,"(Barreira et al., 2014; Rapley et al., 2008; Trudeau et al., 2013)",d,131,178,train,6
CAMKI,Q63450,R. norvegicus,"(Goldberg et al., 1996)",d,285,312,train,7
c-Src,P00523,G. gallus,"(Trudeau et al., 2013; Williams et al., 1997)",d,88,248,train,8
c-Src,P00523,G. gallus,"(Trudeau et al., 2013; Williams et al., 1997)",d,520,533,train,9
Lab,P10105,D. melanogaster,"(Chan et al., 1996; Trudeau et al., 2013)",d,389,410,train,10
Byr2,P28829,S. cerevisiae,"(Tu et al., 1997)",d,151,260,train,11
LAG-2,P45442,C. elegans,"(Henderson et al., 1997)",d,308,402,train,12
CKIε,P49674,H. sapiens,"(Cegielska et al., 1998; Trudeau et al., 2013)",d,305,416,train,13
MIHCK,Q93107,A. castellanii,"(Brzeska et al., 2001; Trudeau et al., 2013)",d,91,157,train,14
Leu3p,C8ZE58,S. cerevisiae,"(Trudeau et al., 2013; Wang et al., 1999)",d,604,741,train,15
PKG,O76360,C. elegans,"(Scott, 1991)",d,1,170,train,16
PPP3CA,P63328,M. musculus,"(Tokoyoda et al., 2000)",d,437,521,train,17
Esx1,O88933,M. musculus,"(Trudeau et al., 2013; Yan et al., 2000)",d,339,372,train,18
Formin-3,O94532,S. cerevisiae,"(Martin et al., 2007)",d,1391,1419,train,19
Moesin,P26038,H. sapiens,"(Pearson et al., 2000; Trudeau et al., 2013)",d,467,577,train,20
Syntaxin-1A,P32851,R. norvegicus,"(Chen and Scheller, 2001; Misura et al., 2000; Trudeau et al., 2013)",d,1,161,train,21
WASP,P42768,H. sapiens,"(Kim et al., 2000; Padrick and Rosen, 2010; Trudeau et al., 2013)",d,210,227,train,22
WASP,P42768,H. sapiens,"(Kim et al., 2000; Padrick and Rosen, 2010; Trudeau et al., 2013)",d,483,492,train,23
PAK1,Q13153,H. sapiens,"(Lei et al., 2000; Totaro et al., 2007; Trudeau et al., 2013)",d,83,149,train,24
NFAT1,Q60591,M. musculus,"(Okamura et al., 2000; Trudeau et al., 2013)",d,163,183,train,25
IRSp53,Q60437,C. griseus,"(Krugmann et al., 2001; Miki and Takenawa, 2002)",d,1,178,train,26
IRSp53,Q60437,C. griseus,"(Krugmann et al., 2001; Miki and Takenawa, 2002)",d,180,317,train,27
