uniprot_acc	id_pdb	id_cre	id_kd	pdb
A5K0N4	5147	10	10	5fet
O74536	8034	21	21	3h4j
O74536	8035	21	21	3h4j
O75582	579	22	23	3kn5
O75582	582	22	23	3kn5
O75582	1045	22	23	7up7
O75582	1049	22	23	7up7
O75582	1670	22	23	3kn6
O75582	1674	22	23	3kn6
O75582	3400	22	23	7up5
O75582	3403	22	23	7up5
O75582	3407	22	23	7up6
O75582	6364	22	23	7up4
O75582	6367	22	23	7up4
O75582	8604	22	23	7up8
O75582	8608	22	23	7up8
P00519	136	36	38	3ue4
P00519	136	36	37	3ue4
P00519	137	36	38	3ue4
P00519	137	36	37	3ue4
P00519	433	36	38	2fo0
P00519	433	36	37	2fo0
P00519	883	36	38	6npu
P00519	883	36	37	6npu
P00519	885	36	38	6npu
P00519	885	36	37	6npu
P00519	981	36	38	7n9g
P00519	981	36	37	7n9g
P00519	984	36	38	7n9g
P00519	984	36	37	7n9g
P00519	992	36	38	7cc2
P00519	992	36	37	7cc2
P00519	994	36	38	7cc2
P00519	994	36	37	7cc2
P00519	1036	36	38	7w7x
P00519	1036	36	37	7w7x
P00519	1038	36	38	7w7x
P00519	1038	36	37	7w7x
P00519	1365	36	38	5mo4
P00519	1365	36	37	5mo4
P00519	1550	36	38	1opl
P00519	1550	36	37	1opl
P00519	1552	36	38	1opl
P00519	1552	36	37	1opl
P00519	1579	36	38	2hz0
P00519	1579	36	37	2hz0
P00519	1580	36	38	2hz0
P00519	1580	36	37	2hz0
P00519	1584	36	38	2hzi
P00519	1584	36	37	2hzi
P00519	1585	36	38	2hzi
P00519	1585	36	37	2hzi
P00519	1651	36	38	3cs9
P00519	1651	36	37	3cs9
P00519	1653	36	38	3cs9
P00519	1653	36	37	3cs9
P00519	1656	36	38	3cs9
P00519	1656	36	37	3cs9
P00519	1659	36	38	3cs9
P00519	1659	36	37	3cs9
P00519	1851	36	38	5hu9
P00519	1851	36	37	5hu9
P00519	2259	36	38	2hiw
P00519	2259	36	37	2hiw
